,数据来自快易数据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,美国,总和生育率,,加拿大,,,英国,,,巴西,,,印度,,,韩国,,,日本,,,越南,,,Niger,,,法国,,,德国,,,阿富汗,
Year,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,282.16 ,2.06 ,,30.69 ,1.49 ,,58.89 ,1.64 ,,174.79 ,2.30 ,,1056.58 ,3.31 ,,47.01 ,1.47 ,,126.84 ,1.36 ,,79.91 ,2.01 ,,11.33 ,7.68 ,,60.91 ,1.89 ,,82.21 ,1.38 ,,20.78 ,7.49 
1999,279.04 ,2.01 ,,30.40 ,1.51 ,,58.68 ,1.68 ,,172.32 ,2.37 ,,1038.06 ,3.38 ,,46.62 ,1.41 ,,126.63 ,1.34 ,,79.04 ,2.10 ,,10.93 ,7.69 ,,60.50 ,1.81 ,,82.10 ,1.36 ,,20.17 ,7.56 
1998,275.85 ,2.00 ,,30.16 ,1.53 ,,58.49 ,1.71 ,,169.79 ,2.43 ,,1019.48 ,3.45 ,,46.29 ,1.45 ,,126.40 ,1.38 ,,78.12 ,2.21 ,,10.55 ,7.70 ,,60.19 ,1.78 ,,82.05 ,1.36 ,,19.74 ,7.61 
1997,272.66 ,1.97 ,,29.91 ,1.55 ,,58.32 ,1.72 ,,167.21 ,2.48 ,,1000.90 ,3.51 ,,45.95 ,1.52 ,,126.06 ,1.39 ,,77.13 ,2.36 ,,10.18 ,7.71 ,,59.64 ,1.77 ,,82.03 ,1.35 ,,19.36 ,7.63 
1996,269.39 ,1.98 ,,29.61 ,1.59 ,,58.17 ,1.73 ,,164.61 ,2.54 ,,982.37 ,3.58 ,,45.52 ,1.57 ,,125.76 ,1.43 ,,76.07 ,2.53 ,,9.83 ,7.72 ,,59.75 ,1.75 ,,81.91 ,1.30 ,,18.85 ,7.63 
1995,266.78 ,1.98 ,,29.30 ,1.64 ,,58.02 ,1.71 ,,162.02 ,2.59 ,,963.92 ,3.65 ,,45.09 ,1.63 ,,125.44 ,1.42 ,,74.91 ,2.71 ,,9.49 ,7.72 ,,59.54 ,1.74 ,,81.68 ,1.25 ,,18.11 ,7.61 
1994,263.13 ,2.00 ,,29.00 ,1.67 ,,57.87 ,1.74 ,,159.43 ,2.64 ,,945.60 ,3.72 ,,44.64 ,1.66 ,,124.96 ,1.50 ,,73.65 ,2.90 ,,9.17 ,7.73 ,,59.33 ,1.73 ,,81.44 ,1.24 ,,17.08 ,7.57 
1993,259.92 ,2.02 ,,28.68 ,1.70 ,,57.72 ,1.76 ,,156.85 ,2.69 ,,927.40 ,3.80 ,,44.19 ,1.65 ,,124.54 ,1.46 ,,72.30 ,3.09 ,,8.86 ,7.74 ,,59.11 ,1.73 ,,81.16 ,1.28 ,,15.82 ,7.54 
1992,256.51 ,2.05 ,,28.37 ,1.71 ,,57.58 ,1.79 ,,154.26 ,2.75 ,,909.31 ,3.88 ,,43.75 ,1.76 ,,124.23 ,1.50 ,,70.88 ,3.26 ,,8.57 ,7.75 ,,58.85 ,1.74 ,,80.62 ,1.29 ,,14.49 ,7.50 
1991,252.98 ,2.06 ,,28.04 ,1.70 ,,57.42 ,1.82 ,,151.65 ,2.82 ,,891.27 ,3.96 ,,43.30 ,1.71 ,,123.92 ,1.53 ,,69.44 ,3.42 ,,8.29 ,7.76 ,,58.56 ,1.75 ,,80.13 ,1.33 ,,13.30 ,7.48 
1990,249.62 ,2.08 ,,27.69 ,1.83 ,,57.25 ,1.83 ,,149.00 ,2.90 ,,893.28 ,4.04 ,,42.87 ,1.57 ,,123.54 ,1.54 ,,67.99 ,3.55 ,,8.03 ,7.77 ,,58.24 ,1.77 ,,79.43 ,1.45 ,,12.41 ,7.47 
1989,246.82 ,2.01 ,,27.28 ,1.77 ,,57.08 ,1.79 ,,146.33 ,3.00 ,,855.33 ,4.13 ,,42.45 ,1.56 ,,123.12 ,1.57 ,,66.55 ,3.68 ,,7.78 ,7.79 ,,57.94 ,1.79 ,,78.75 ,1.42 ,,11.87 ,7.46 
1988,244.50 ,1.93 ,,26.79 ,1.68 ,,56.93 ,1.82 ,,143.63 ,3.10 ,,837.47 ,4.22 ,,42.03 ,1.55 ,,122.61 ,1.66 ,,65.12 ,3.80 ,,7.55 ,7.80 ,,57.63 ,1.81 ,,78.14 ,1.46 ,,11.62 ,7.46 
1987,242.29 ,1.87 ,,26.45 ,1.68 ,,56.80 ,1.81 ,,140.89 ,3.22 ,,819.68 ,4.31 ,,41.62 ,1.53 ,,122.09 ,1.69 ,,63.70 ,3.93 ,,7.33 ,7.82 ,,57.30 ,1.83 ,,77.84 ,1.43 ,,11.60 ,7.46 
1986,240.13 ,1.84 ,,26.10 ,1.68 ,,56.68 ,1.78 ,,138.11 ,3.34 ,,801.98 ,4.40 ,,41.21 ,1.58 ,,121.49 ,1.72 ,,62.29 ,4.06 ,,7.12 ,7.84 ,,56.98 ,1.85 ,,77.72 ,1.43 ,,11.74 ,7.46 
1985,237.92 ,1.84 ,,25.84 ,1.67 ,,56.55 ,1.79 ,,135.27 ,3.47 ,,784.36 ,4.48 ,,40.81 ,1.66 ,,120.75 ,1.76 ,,60.90 ,4.21 ,,6.92 ,7.87 ,,56.65 ,1.86 ,,77.68 ,1.37 ,,11.94 ,7.46 
1984,235.83 ,1.81 ,,25.61 ,1.65 ,,56.42 ,1.77 ,,132.38 ,3.60 ,,766.83 ,4.56 ,,40.41 ,1.74 ,,120.02 ,1.81 ,,59.51 ,4.36 ,,6.72 ,7.88 ,,56.34 ,1.86 ,,77.86 ,1.29 ,,12.20 ,7.46 
1983,233.79 ,1.80 ,,25.37 ,1.68 ,,56.33 ,1.77 ,,129.45 ,3.72 ,,749.43 ,4.64 ,,39.91 ,2.06 ,,119.26 ,1.80 ,,58.15 ,4.52 ,,6.53 ,7.89 ,,56.02 ,1.86 ,,78.13 ,1.33 ,,12.54 ,7.45 
1982,231.66 ,1.83 ,,25.12 ,1.69 ,,56.31 ,1.78 ,,126.50 ,3.84 ,,732.24 ,4.70 ,,39.33 ,2.39 ,,118.45 ,1.77 ,,56.81 ,4.69 ,,6.34 ,7.88 ,,55.72 ,1.86 ,,78.33 ,1.41 ,,12.88 ,7.45 
1981,229.47 ,1.81 ,,24.82 ,1.70 ,,56.33 ,1.82 ,,123.57 ,3.94 ,,715.38 ,4.77 ,,38.72 ,2.57 ,,117.65 ,1.74 ,,55.52 ,4.87 ,,6.16 ,7.87 ,,55.43 ,1.85 ,,78.41 ,1.43 ,,13.17 ,7.45 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,227.23 ,1.84 ,,24.52 ,1.74 ,,56.31 ,1.90 ,,120.69 ,4.04 ,,698.95 ,4.83 ,,38.12 ,2.82 ,,116.78 ,1.75 ,,54.28 ,5.05 ,,6.00 ,7.84 ,,55.16 ,1.85 ,,78.29 ,1.44 ,,13.36 ,7.45 
1979,225.06 ,1.81 ,,24.20 ,1.75 ,,56.25 ,1.86 ,,117.88 ,4.12 ,,683.00 ,4.89 ,,37.53 ,2.90 ,,115.87 ,1.77 ,,53.10 ,5.23 ,,5.82 ,7.81 ,,54.92 ,1.87 ,,78.13 ,1.38 ,,13.41 ,7.45 
1978,222.59 ,1.76 ,,23.96 ,1.77 ,,56.20 ,1.75 ,,115.12 ,4.20 ,,667.50 ,4.96 ,,36.97 ,2.64 ,,114.90 ,1.79 ,,51.96 ,5.42 ,,5.65 ,7.78 ,,54.69 ,1.89 ,,78.09 ,1.38 ,,13.34 ,7.45 
1977,220.24 ,1.79 ,,23.73 ,1.78 ,,56.19 ,1.69 ,,112.43 ,4.27 ,,652.41 ,5.03 ,,36.41 ,2.99 ,,113.86 ,1.80 ,,50.86 ,5.61 ,,5.49 ,7.74 ,,54.47 ,1.94 ,,78.16 ,1.40 ,,13.17 ,7.45 
1976,218.04 ,1.74 ,,23.45 ,1.80 ,,56.21 ,1.74 ,,109.79 ,4.34 ,,637.63 ,5.11 ,,35.85 ,3.00 ,,112.77 ,1.85 ,,49.79 ,5.80 ,,5.34 ,7.70 ,,54.22 ,2.01 ,,78.34 ,1.45 ,,12.94 ,7.45 
1975,215.97 ,1.77 ,,23.14 ,1.82 ,,56.23 ,1.81 ,,107.22 ,4.42 ,,623.10 ,5.19 ,,35.28 ,3.43 ,,111.94 ,1.91 ,,48.72 ,5.97 ,,5.18 ,7.67 ,,53.93 ,2.09 ,,78.67 ,1.45 ,,12.69 ,7.45 
1974,213.85 ,1.83 ,,22.81 ,1.84 ,,56.23 ,1.92 ,,104.71 ,4.50 ,,608.80 ,5.28 ,,34.69 ,3.77 ,,110.16 ,2.05 ,,47.66 ,6.13 ,,5.04 ,7.64 ,,53.59 ,2.18 ,,78.97 ,1.51 ,,12.41 ,7.45 
1973,211.91 ,1.88 ,,22.49 ,1.89 ,,56.19 ,2.04 ,,102.26 ,4.60 ,,594.77 ,5.36 ,,34.10 ,4.07 ,,108.08 ,2.14 ,,46.60 ,6.25 ,,4.90 ,7.62 ,,53.21 ,2.28 ,,78.94 ,1.54 ,,12.11 ,7.45 
