,数据来自快易数据,,,总和生育率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,美国,,,加拿大,,,英国,,,巴西,,,印度,,,韩国,,,日本,,,越南,,,Niger,,,法国,,,德国,,,阿富汗,
Year,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility
2009,"3.07亿 (306,771,529)",2,,"3.36千万 (33,628,895)",1.67,,"6.23千万 (62,276,270)",1.89,,"1.94亿 (193,886,508)",1.82,,"12.18亿 (1,217,726,215)",2.66,,"4.93千万 (49,307,835)",1.15,,"1.28亿 (128,047,000)",1.37,,"8.71千万 (87,092,252)",1.93,,"1.58千万 (15,843,133)",7.51,,"6.47千万 (64,707,040)",2,,"8.19千万 (81,902,307)",1.36,,"2.84千万 (28,394,813)",6.18
2008,"3.04亿 (304,093,966)",2.07,,"3.32千万 (33,247,118)",1.68,,"6.18千万 (61,806,995)",1.91,,"1.92亿 (192,030,362)",1.85,,"12.01亿 (1,200,669,765)",2.74,,"4.91千万 (49,054,708)",1.19,,"1.28亿 (128,063,000)",1.37,,"8.62千万 (86,243,413)",1.92,,"1.53千万 (15,250,908)",7.54,,"6.44千万 (64,374,984)",2.01,,"8.21千万 (82,110,097)",1.38,,"2.77千万 (27,722,276)",6.37
2007,"3.01亿 (301,231,207)",2.12,,"3.29千万 (32,889,025)",1.66,,"6.13千万 (61,322,463)",1.86,,"1.9亿 (190,130,443)",1.88,,"11.83亿 (1,183,209,472)",2.82,,"4.87千万 (48,683,638)",1.25,,"1.28亿 (128,001,000)",1.34,,"8.54千万 (85,419,591)",1.91,,"1.47千万 (14,685,399)",7.57,,"6.4千万 (64,016,225)",1.98,,"8.23千万 (82,266,372)",1.37,,"2.71千万 (27,100,536)",6.55
2006,"2.98亿 (298,379,912)",2.11,,"3.26千万 (32,571,174)",1.59,,"6.08千万 (60,846,820)",1.82,,"1.88亿 (188,167,356)",1.93,,"11.65亿 (1,165,486,291)",2.9,,"4.84千万 (48,438,292)",1.12,,"1.28亿 (127,854,000)",1.32,,"8.46千万 (84,617,540)",1.9,,"1.41千万 (14,143,971)",7.59,,"6.36千万 (63,621,381)",2,,"8.24千万 (82,376,451)",1.33,,"2.64千万 (26,433,049)",6.72
2005,"2.96亿 (295,516,599)",2.06,,"3.22千万 (32,243,753)",1.54,,"6.04千万 (60,401,206)",1.76,,"1.86亿 (186,127,103)",1.98,,"11.48亿 (1,147,609,927)",2.97,,"4.82千万 (48,184,561)",1.08,,"1.28亿 (127,773,000)",1.26,,"8.38千万 (83,832,661)",1.89,,"1.36千万 (13,624,467)",7.61,,"6.32千万 (63,179,351)",1.94,,"8.25千万 (82,469,422)",1.34,,"2.57千万 (25,654,277)",6.88
2004,"2.93亿 (292,805,298)",2.05,,"3.19千万 (31,940,655)",1.53,,"6.0千万 (59,987,905)",1.75,,"1.84亿 (184,006,481)",2.03,,"11.3亿 (1,129,623,456)",3.04,,"4.81千万 (48,082,519)",1.15,,"1.28亿 (127,761,000)",1.29,,"8.31千万 (83,062,821)",1.89,,"1.31千万 (13,125,916)",7.63,,"6.27千万 (62,704,895)",1.92,,"8.25千万 (82,516,260)",1.36,,"2.47千万 (24,726,684)",7.02
2003,"2.9亿 (290,107,933)",2.05,,"3.16千万 (31,644,028)",1.53,,"5.96千万 (59,647,577)",1.7,,"1.82亿 (181,809,246)",2.1,,"11.12亿 (1,111,523,144)",3.11,,"4.79千万 (47,892,330)",1.18,,"1.28亿 (127,718,000)",1.29,,"8.23千万 (82,301,656)",1.9,,"1.26千万 (12,647,984)",7.64,,"6.22千万 (62,244,886)",1.89,,"8.25千万 (82,534,176)",1.34,,"2.37千万 (23,680,871)",7.15
2002,"2.88亿 (287,625,193)",2.02,,"3.14千万 (31,360,079)",1.5,,"5.94千万 (59,370,479)",1.63,,"1.8亿 (179,537,520)",2.16,,"10.93亿 (1,093,317,189)",3.18,,"4.76千万 (47,644,736)",1.17,,"1.27亿 (127,445,000)",1.32,,"8.15千万 (81,534,407)",1.92,,"1.22千万 (12,189,983)",7.66,,"6.18千万 (61,805,267)",1.88,,"8.25千万 (82,488,495)",1.34,,"2.26千万 (22,600,770)",7.27
2001,"2.85亿 (284,968,955)",2.03,,"3.1千万 (31,020,902)",1.51,,"5.91千万 (59,119,673)",1.63,,"1.77亿 (177,196,054)",2.23,,"10.75亿 (1,075,000,085)",3.24,,"4.74千万 (47,370,164)",1.3,,"1.27亿 (127,149,000)",1.33,,"8.07千万 (80,742,499)",1.95,,"1.18千万 (11,751,365)",7.67,,"6.14千万 (61,357,430)",1.9,,"8.23千万 (82,349,925)",1.35,,"2.16千万 (21,606,988)",7.39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,"2.82亿 (282,162,411)",2.06,,"3.07千万 (30,685,730)",1.49,,"5.89千万 (58,892,514)",1.64,,"1.75亿 (174,790,340)",2.3,,"10.57亿 (1,056,575,549)",3.31,,"4.7千万 (47,008,111)",1.47,,"1.27亿 (126,843,000)",1.36,,"7.99千万 (79,910,412)",2.01,,"1.13千万 (11,331,557)",7.68,,"6.09千万 (60,912,500)",1.89,,"8.22千万 (82,211,508)",1.38,,"2.08千万 (20,779,953)",7.49
1999,"2.79亿 (279,040,000)",2.01,,"3.04千万 (30,401,286)",1.51,,"5.87千万 (58,682,466)",1.68,,"1.72亿 (172,318,675)",2.37,,"10.38亿 (1,038,058,156)",3.38,,"4.66千万 (46,616,677)",1.41,,"1.27亿 (126,631,000)",1.34,,"7.9千万 (79,035,871)",2.1,,"1.09千万 (10,929,918)",7.69,,"6.05千万 (60,496,718)",1.81,,"8.21千万 (82,100,243)",1.36,,"2.02千万 (20,170,844)",7.56
1998,"2.76亿 (275,854,000)",2,,"3.02千万 (30,155,173)",1.53,,"5.85千万 (58,487,141)",1.71,,"1.7亿 (169,785,250)",2.43,,"10.19亿 (1,019,483,581)",3.45,,"4.63千万 (46,286,503)",1.45,,"1.26亿 (126,400,000)",1.38,,"7.81千万 (78,115,710)",2.21,,"1.05千万 (10,545,716)",7.7,,"6.02千万 (60,186,288)",1.78,,"8.2千万 (82,047,195)",1.36,,"1.97千万 (19,737,765)",7.61
1997,"2.73亿 (272,657,000)",1.97,,"2.99千万 (29,905,948)",1.55,,"5.83千万 (58,316,954)",1.72,,"1.67亿 (167,209,040)",2.48,,"10.01亿 (1,000,900,030)",3.51,,"4.6千万 (45,953,580)",1.52,,"1.26亿 (126,057,000)",1.39,,"7.71千万 (77,133,214)",2.36,,"1.02千万 (10,178,201)",7.71,,"6.0千万 (59,964,851)",1.77,,"8.2千万 (82,034,771)",1.35,,"1.94千万 (19,357,126)",7.63
1996,"2.69亿 (269,394,000)",1.98,,"2.96千万 (29,610,218)",1.59,,"5.82千万 (58,166,950)",1.73,,"1.65亿 (164,614,688)",2.54,,"9.82亿 (982,365,243)",3.58,,"4.55千万 (45,524,681)",1.57,,"1.26亿 (125,757,000)",1.43,,"7.61千万 (76,068,743)",2.53,,"9.83百万 (9,826,598)",7.72,,"5.98千万 (59,753,100)",1.75,,"8.19千万 (81,914,831)",1.3,,"1.89千万 (18,853,437)",7.63
1995,"2.66亿 (266,278,000)",1.98,,"2.93千万 (29,302,311)",1.64,,"5.8千万 (58,019,030)",1.71,,"1.62亿 (162,019,896)",2.59,,"9.64亿 (963,922,588)",3.65,,"4.51千万 (45,092,991)",1.63,,"1.25亿 (125,439,000)",1.42,,"7.49千万 (74,910,461)",2.71,,"9.49百万 (9,490,288)",7.72,,"5.95千万 (59,541,899)",1.74,,"8.17千万 (81,678,051)",1.25,,"1.81千万 (18,110,657)",7.61
1994,"2.63亿 (263,126,000)",2,,"2.9千万 (29,000,663)",1.67,,"5.79千万 (57,865,745)",1.74,,"1.59亿 (159,432,716)",2.64,,"9.46亿 (945,601,831)",3.72,,"4.46千万 (44,641,540)",1.66,,"1.25亿 (124,961,000)",1.5,,"7.37千万 (73,651,218)",2.9,,"9.17百万 (9,168,312)",7.73,,"5.93千万 (59,327,192)",1.73,,"8.14千万 (81,438,348)",1.24,,"1.71千万 (17,075,727)",7.57
1993,"2.6亿 (259,919,000)",2.02,,"2.87千万 (28,684,764)",1.7,,"5.77千万 (57,718,614)",1.76,,"1.57亿 (156,849,078)",2.69,,"9.27亿 (927,403,860)",3.8,,"4.42千万 (44,194,628)",1.65,,"1.25亿 (124,536,000)",1.46,,"7.23千万 (72,300,308)",3.09,,"8.86百万 (8,860,287)",7.74,,"5.91千万 (59,106,768)",1.73,,"8.12千万 (81,156,363)",1.28,,"1.58千万 (15,816,603)",7.54
1992,"2.57亿 (256,514,000)",2.05,,"2.84千万 (28,371,264)",1.71,,"5.76千万 (57,580,402)",1.79,,"1.54亿 (154,259,380)",2.75,,"9.09亿 (909,307,016)",3.88,,"4.37千万 (43,747,962)",1.76,,"1.24亿 (124,229,000)",1.5,,"7.09千万 (70,883,481)",3.26,,"8.57百万 (8,566,770)",7.75,,"5.89千万 (58,851,217)",1.74,,"8.06千万 (80,624,598)",1.29,,"1.45千万 (14,485,546)",7.5
1991,"2.53亿 (252,981,000)",2.06,,"2.8千万 (28,037,420)",1.7,,"5.74千万 (57,424,897)",1.82,,"1.52亿 (151,648,011)",2.82,,"8.91亿 (891,273,209)",3.96,,"4.33千万 (43,295,704)",1.71,,"1.24亿 (123,921,000)",1.53,,"6.94千万 (69,436,954)",3.42,,"8.29百万 (8,288,735)",7.76,,"5.86千万 (58,559,311)",1.75,,"8.0千万 (80,013,896)",1.33,,"1.33千万 (13,299,017)",7.48
1990,"2.5亿 (249,623,000)",2.08,,"2.77千万 (27,691,138)",1.83,,"5.72千万 (57,247,586)",1.83,,"1.49亿 (149,003,223)",2.9,,"8.73亿 (873,277,798)",4.04,,"4.29千万 (42,869,283)",1.57,,"1.24亿 (123,537,000)",1.54,,"6.8千万 (67,988,862)",3.55,,"8.03百万 (8,026,591)",7.77,,"5.82千万 (58,235,697)",1.77,,"7.94千万 (79,433,029)",1.45,,"1.24千万 (12,412,308)",7.47
1989,"2.47亿 (246,819,000)",2.01,,"2.73千万 (27,276,781)",1.77,,"5.71千万 (57,076,711)",1.79,,"1.46亿 (146,328,304)",3,,"8.55亿 (855,334,678)",4.13,,"4.24千万 (42,449,038)",1.56,,"1.23亿 (123,116,000)",1.57,,"6.66千万 (66,550,234)",3.68,,"7.78百万 (7,780,245)",7.79,,"5.79千万 (57,940,212)",1.79,,"7.88千万 (78,751,283)",1.42,,"1.19千万 (11,868,877)",7.46
1988,"2.44亿 (244,499,000)",1.93,,"2.68千万 (26,791,747)",1.68,,"5.69千万 (56,928,327)",1.82,,"1.44亿 (143,627,503)",3.1,,"8.37亿 (837,468,930)",4.22,,"4.2千万 (42,031,247)",1.55,,"1.23亿 (122,613,000)",1.66,,"6.51千万 (65,120,439)",3.8,,"7.55百万 (7,548,433)",7.8,,"5.76千万 (57,627,105)",1.81,,"7.81千万 (78,144,619)",1.46,,"1.16千万 (11,618,005)",7.46
1987,"2.42亿 (242,289,000)",1.87,,"2.64千万 (26,446,601)",1.68,,"5.68千万 (56,802,050)",1.81,,"1.41亿 (140,891,602)",3.22,,"8.2亿 (819,682,102)",4.31,,"4.16千万 (41,621,690)",1.53,,"1.22亿 (122,091,000)",1.69,,"6.37千万 (63,701,972)",3.93,,"7.33百万 (7,328,943)",7.82,,"5.73千万 (57,302,663)",1.83,,"7.78千万 (77,839,920)",1.43,,"1.16千万 (11,604,534)",7.46
